Countycode,民國年月,YYYMM,十八尖山人次,青青草原人次,城隍廟人次,新竹漁港人次,賞蟹步道人次,青草湖人次,十七公里自行車道人次,新竹公園人次
"10018","10801","10801","138881","22226","186932","226935","8574","14436","7538","16902"
"10018","10802","10802","137512","40034","251404","219437","20629","16169","17081","42939"
"10018","10803","10803","101301","32227","157317","241011","20187","12116","8621","26910"
"10018","10804","10804","186020","64880","205830","272600","29660","17830","18440","26210"
"10018","10805","10805","160695","30172","212146","309255","24648","15267","26268","21465"
"10018","10806","10806","169084","31216","187465","331952","28083","20814","25789","20129"
"10018","10807","10807","144669","22904","198434","244742","17773","11831","14751","15135"
"10018","10808","10808","135557","26594","231224","355109","39719","11184","22155","31347"
"10018","10809","10809","127176","20196","195564","383046","18363","10686","12789","16797"
"10018","10810","10810","180991","28184","191720","361919","22722","23675","23162","20279"
"10018","10811","10811","180144","30951","216609","388662","9780","18252","22773","20274"
"10018","10812","10812","147301","35819","278915","324479","10636","24947","16739","105026"
